dt,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,hour,day,weekday,month,pm2_5,pm10,no,no2,o3,so2,co,AQI_change_1h,AQI_rolling_mean_6h
2025-04-16 19:43:34.606878,,,,,,,,,,,,19,16,2,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-16 20:43:34.606878,,,,,,,,,,,,20,16,2,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-16 21:43:34.606878,,,,,,,,,,,,21,16,2,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-16 22:43:34.606878,,,,,,,,,,,,22,16,2,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-16 23:43:34.606878,,,,,,,,,,,,23,16,2,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 00:43:34.606878,,,,,,,,,,,,0,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 01:43:34.606878,,,,,,,,,,,,1,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 02:43:34.606878,,,,,,,,,,,,2,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 03:43:34.606878,,,,,,,,,,,,3,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 04:43:34.606878,,,,,,,,,,,,4,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 05:43:34.606878,,,,,,,,,,,,5,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 06:43:34.606878,,,,,,,,,,,,6,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 07:43:34.606878,,,,,,,,,,,,7,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 08:43:34.606878,,,,,,,,,,,,8,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 09:43:34.606878,,,,,,,,,,,,9,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 10:43:34.606878,,,,,,,,,,,,10,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 11:43:34.606878,,,,,,,,,,,,11,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 12:43:34.606878,,,,,,,,,,,,12,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 13:43:34.606878,,,,,,,,,,,,13,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 14:43:34.606878,,,,,,,,,,,,14,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 15:43:34.606878,,,,,,,,,,,,15,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 16:43:34.606878,,,,,,,,,,,,16,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 17:43:34.606878,,,,,,,,,,,,17,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 18:43:34.606878,,,,,,,,,,,,18,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 19:43:34.606878,,,,,,,,,,,,19,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 20:43:34.606878,,,,,,,,,,,,20,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 21:43:34.606878,,,,,,,,,,,,21,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 22:43:34.606878,,,,,,,,,,,,22,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-17 23:43:34.606878,,,,,,,,,,,,23,17,3,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 00:43:34.606878,,,,,,,,,,,,0,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 01:43:34.606878,,,,,,,,,,,,1,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 02:43:34.606878,,,,,,,,,,,,2,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 03:43:34.606878,,,,,,,,,,,,3,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 04:43:34.606878,,,,,,,,,,,,4,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 05:43:34.606878,,,,,,,,,,,,5,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 06:43:34.606878,,,,,,,,,,,,6,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 07:43:34.606878,,,,,,,,,,,,7,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 08:43:34.606878,,,,,,,,,,,,8,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 09:43:34.606878,,,,,,,,,,,,9,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 10:43:34.606878,,,,,,,,,,,,10,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 11:43:34.606878,,,,,,,,,,,,11,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 12:43:34.606878,,,,,,,,,,,,12,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 13:43:34.606878,,,,,,,,,,,,13,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 14:43:34.606878,,,,,,,,,,,,14,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 15:43:34.606878,,,,,,,,,,,,15,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 16:43:34.606878,,,,,,,,,,,,16,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 17:43:34.606878,,,,,,,,,,,,17,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 18:43:34.606878,,,,,,,,,,,,18,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 19:43:34.606878,,,,,,,,,,,,19,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 20:43:34.606878,,,,,,,,,,,,20,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 21:43:34.606878,,,,,,,,,,,,21,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 22:43:34.606878,,,,,,,,,,,,22,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-18 23:43:34.606878,,,,,,,,,,,,23,18,4,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 00:43:34.606878,,,,,,,,,,,,0,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 01:43:34.606878,,,,,,,,,,,,1,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 02:43:34.606878,,,,,,,,,,,,2,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 03:43:34.606878,,,,,,,,,,,,3,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 04:43:34.606878,,,,,,,,,,,,4,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 05:43:34.606878,,,,,,,,,,,,5,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 06:43:34.606878,,,,,,,,,,,,6,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 07:43:34.606878,,,,,,,,,,,,7,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 08:43:34.606878,,,,,,,,,,,,8,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 09:43:34.606878,,,,,,,,,,,,9,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 10:43:34.606878,,,,,,,,,,,,10,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 11:43:34.606878,,,,,,,,,,,,11,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 12:43:34.606878,,,,,,,,,,,,12,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 13:43:34.606878,,,,,,,,,,,,13,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 14:43:34.606878,,,,,,,,,,,,14,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 15:43:34.606878,,,,,,,,,,,,15,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 16:43:34.606878,,,,,,,,,,,,16,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 17:43:34.606878,,,,,,,,,,,,17,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
2025-04-19 18:43:34.606878,,,,,,,,,,,,18,19,5,4,58.24583333333333,93.75,0.12166666666666666,5.22,110.33583333333335,6.021666666666667,419.6504166666667,0,143.0
